t1,e1,t2,e2
0,0,0,0
0.042260961,0,0.035739672,0
0.084521923,0,0.071479344,0
0.126782884,0,0.107219017,0
0.169043846,0,0.142958689,0
0.211304807,0,0.178698361,0
0.253565769,0,0.214438033,0
0.29582673,0,0.250177705,0
0.338087691,0,0.285917377,0
0.380348653,0,0.32165705,0.024551136
0.422609614,0,0.357396722,0.114571967
0.464870576,0,0.393136394,0.171857951
0.507131537,0.022183594,0.428876066,0.327348478
0.549392499,0.073945313,0.464615738,0.368267038
0.59165346,0.266203125,0.500355411,0.507390141
0.633914422,0.465855469,0.536095083,0.679248092
0.676175383,0.931710937,0.571834755,0.96567801
0.718436344,1.175730469,0.607574427,1.047515129
0.760697306,1.486300781,0.643314099,1.170270808
0.802958267,1.759898438,0.679053772,1.186638232
0.845219229,1.922578125,0.714793444,1.268475352
0.88748019,1.907789063,0.750533116,1.284842776
0.929741152,1.826449219,0.786272788,1.284842776
0.972002113,1.656375,0.82201246,1.243924216
1.014263074,1.575035156,0.857752132,1.194821944
1.056524036,1.3014375,0.893491805,1.162087096
1.098784997,1.131363281,0.929231477,1.104801113
1.141045959,1.020445313,0.964971149,1.022963993
1.18330692,0.894738281,1.000710821,1.006596569
1.225567882,0.680296875,1.036450493,0.892024602
1.267828843,0.606351563,1.072190166,0.810187483
1.310089805,0.495433594,1.107929838,0.777452635
1.352350766,0.399304688,1.14366951,0.752901499
1.394611727,0.347542969,1.179409182,0.646513244
1.436872689,0.29578125,1.215148854,0.572859836
1.47913365,0.229230469,1.250888527,0.507390141
1.521394612,0.229230469,1.286628199,0.499206429
1.563655573,0.162679688,1.322367871,0.450104157
1.605916535,0.140496094,1.358107543,0.409185597
1.648177496,0.110917969,1.393847215,0.401001885
1.690438457,0.096128906,1.429586887,0.37645075
1.732699419,0.081339844,1.46532656,0.33553219
1.77496038,0.066550781,1.501066232,0.33553219
1.817221342,0.051761719,1.536805904,0.302797342
1.859482303,0.044367188,1.572545576,0.270062494
1.901743265,0.036972656,1.608285248,0.237327646
1.944004226,0.029578125,1.644024921,0.212776511
1.986265188,0.022183594,1.679764593,0.188225375
2.028526149,0.022183594,1.715504265,0.180041663
2.07078711,0.022183594,1.751243937,0.155490527
2.113048072,0.022183594,1.786983609,0.147306815
2.155309033,0.022183594,1.822723281,0.122755679
2.197569995,0.007394531,1.858462954,0.130939391
2.239830956,0.007394531,1.894202626,0.122755679
2.282091918,0.007394531,1.929942298,0.114571967
2.324352879,0.007394531,1.96568197,0.106388255
,,2.001421642,0.081837119
,,2.037161315,0.073653408
,,2.072900987,0.065469696
,,2.108640659,0.057285984
,,2.144380331,0.057285984
,,2.180120003,0.049102272
,,2.215859676,0.04091856
,,2.251599348,0.04091856
,,2.28733902,0.04091856
,,2.323078692,0.04091856
,,2.358818364,0.024551136
,,2.394558036,0.024551136
,,2.430297709,0.024551136
,,2.466037381,0.024551136
,,2.501777053,0.016367424
,,2.537516725,0.008183712
,,2.573256397,0.008183712
,,2.60899607,0.008183712
,,2.644735742,0.008183712
,,2.680475414,0.008183712
,,2.716215086,0.008183712
,,2.751954758,0.008183712
,,2.787694431,0.008183712
,,2.823434103,0.008183712
,,2.859173775,0.008183712
,,2.894913447,0.008183712
,,2.930653119,0.008183712
,,2.966392791,0.008183712
,,3.002132464,0.008183712